term1,term2,label
surfboard,surfer,0.0
swan,heron,0.0
sweater,anorak,0.0
sweater,blazer,0.0
sweater,windbreaker,0.0
sweater,windcheater,0.0
swimming costume,bathing suit,1.0
swimming costume,lingerie,0.0
swimming costume,swimsuit,1.0
swimming costume,swimwear,1.0
swimsuit,pool,0.0
swimsuit,swimwear,1.0
sword,plowshare,0.0
table napkin,serviette,1.0
table napkin,table,0.0
table,tray,0.0
tack,stance,0.0
tangerine,peach,0.0
tank,thinktank,0.0
tap,water,0.0
tape,audio,0.0
taxi,bus,0.0
telephone,landline,0.0
temporal cortex,adrenal cortex,0.0
temporal cortex,temporal lobe,1.0
tent,circus,0.0
thermometer,temperature,0.0
thimble,pail,0.0
think tank, think factory,1.0
think tank,thought,0.0
tie,deadlock,0.0
tiger,rhino,0.0
toad frog,anuran,1.0
toad,anuran,1.0
toad,rodent,0.0
toad,toad frog,1.0
toaster,coffeemaker,0.0
toilet,woman,0.0
tomahawk,spear,0.0
tomato,cantaloupe,0.0
tongs,pair of tongs,1.0
tongs,spatula,0.0
tortoise,snail,0.0
toy,doll,0.0
tractor,john deere,0.0
trailer,car,0.0
train,bus,0.0
train,commuter,0.0
train,rail,0.0
train,railroad train,1.0
train,railway,0.0
train,walk,0.0
tray,spoon,0.0
tricycle,bicycle,0.0
tricycle,trike,1.0
tripod,camera,0.0
trolley,streetcar,1.0
trolley,trolley car,1.0
trolley,viaduct,0.0
trombone,trumpet,0.0
trouser,denim,0.0
trout,fishing,0.0
truck,van,0.0
trumpet,cornet,1.0
trumpet,sax,0.0
tub,bathroom,0.0
tub,bubble,0.0
tub,couch,0.0
tuba,bass horn,1.0
tuba,saxophone,0.0
tuna,fish,0.0
turdus migratorius,american robin,1.0
turkey vulture,fox,0.0
turkey,chicken,0.0
turnip,pumpkin,0.0
turtle,otter,0.0
turtleneck,blazer,0.0
turtleneck,polo-neck,1.0
typewriter,remington,0.0
u-boat,pigboat,1.0
umbrella,aegis,0.0
underbodice,blouse,0.0
underbodice,camisole,1.0
unicycle,skateboard,0.0
unitard,cat suit,1.0
unitard,tights,0.0
unmanliness,effeminateness,1.0
unmanliness,man,0.0
urn,crematorium,0.0
uterine cervix,breast tissue,0.0
uterine cervix,cervix uteri,1.0
uterine cervix,ovary,0.0
uterine cervix,rectum,0.0 
van,jeep,0.0
veil,face,0.0
vest,bandolier,0.0
vine,grape,0.0
viola,harpsichord,0.0
violin,fiddle,1.0
violin,violinist,0.0
viscera,entrails,1.0
viscera,flesh,0.0
viscera,innards,1.0
vulture,jackal,0.0
wagon,tractor,0.0
wall,fence,0.0
walnut,rosewood,0.0
walrus,polar bear,0.0
wand,broom,0.0
wasp,beetle,0.0
water faucet,water tap,1.0
water faucet,water,0.0
whale,dolphin,0.0
wheel,axle,0.0
wheelbarrow,garden cart,1.0
wheelbarrow,lawn cart,1.0
wheelbarrow,shovel,0.0
whip,salmon,0.0
whistle,horn,0.0
white turnip,brassica rapa,1.0
white turnip,radish,0.0
willow,birch,0.0
wind cone,air-sleeve,1.0
wind cone,wind,0.0
wind sleeve,sleeve,0.0
wind sleeve,wind cone,1.0
windbreaker,wind,0.0
windbreaker,windcheater,1.0
womanishness,effeminateness,1.0
womanishness,unmanliness,1.0
womanishness,woman,0.0
woodpecker,ovenbird,0.0
woodpecker,peckerwood,1.0
worm,troja,0.0
wrecking bar,pry bar,1.0
wrecking bar,pry,1.0
wrecking bar,sabotage,0.0
wrench,hammer,0.0
writing table,escritoire,1.0
writing table,letter,0.0
writing table,pen,0.0
writing table,secretaire,1.0 
yacht,luxury,0.0
yam,root,0.0
zebra,giraffe,0.0
zebra,leopard,0.0
zucchini,asparagus,0.0
zucchini,courgette,1.0
